Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
140879;Köln, GH Ursula-Kuhr-Schule;BR Köln;Stadt Köln;Köln;6
140892;Köln, KH Adolph-Kolping-Schule;BR Köln;Stadt Köln;Köln;9
140909;Köln, KH Großer Griechenmarkt;BR Köln;Stadt Köln;Köln;7
140960;Köln, GH Baadenberger Str.;BR Köln;Stadt Köln;Köln;8
141021;Köln, KH Kath. Hauptschule am Rhein;BR Köln;Stadt Köln;Köln;7
141070;Köln, GH Tiefentalstr.;BR Köln;Stadt Köln;Köln;9
141082;Köln, GH Nelson-Mandela-Schule;BR Köln;Stadt Köln;Köln;9
141161;Bedburg, GH Arnold-von-Harff-Schule;BR Köln;Rhein-Erft-Kreis;Bedburg;5
141173;Bergheim, GH Erich Kästner;BR Köln;Rhein-Erft-Kreis;Bergheim;6
141240;Kerpen, GH Mühlengraben;BR Köln;Rhein-Erft-Kreis;Kerpen;7
141252;Kerpen, GH Adolf-Kolping-Schule;BR Köln;Rhein-Erft-Kreis;Kerpen;6
141276;Erftstadt, GH Theodor-Heuss-Schule;BR Köln;Rhein-Erft-Kreis;Erftstadt;4
141331;Bad Münstereifel, GH Friedrich-Haass;BR Köln;Kreis Euskirchen;Bad Münstereifel;3
141367;Zülpich, GH Keltenweg;BR Köln;Kreis Euskirchen;Zülpich;3
141392;Hellenthal, GH Kalberbenden;BR Köln;Kreis Euskirchen;Hellenthal;3
141483;Brühl, GH Clemens-August-Schule;BR Köln;Rhein-Erft-Kreis;Brühl;7
141513;Frechen, GH Herbertskaul;BR Köln;Rhein-Erft-Kreis;Frechen;7
141549;Hürth, GH Kendenich;BR Köln;Rhein-Erft-Kreis;Hürth;5
141628;Wesseling, GH Wilhelm-Busch-Schule;BR Köln;Rhein-Erft-Kreis;Wesseling;8
141665;Bergneustadt, GH Goethestr.;BR Köln;Oberbergischen Kreis;Bergneustadt;8
141847;Bergisch Gladbach, GH Im Kleefeld;BR Köln;Rheinisch-Bergischen Kreis;Bergisch Gladbach;7
141860;Köln, GH Johann-Amos-Comenius;BR Köln;Stadt Köln;Köln;8
141872;Köln, GH Kopernikusschule;BR Köln;Stadt Köln;Köln;9
141902;Wipperfürth, GH Konrad-Adenauer-Schule;BR Köln;Oberbergischen Kreis;Wipperfürth;4
141914;Lindlar, GH Wilhelm-Breidenbach-Weg;BR Köln;Oberbergischen Kreis;Lindlar;4
142025;Sankt Augustin, GH Niederpleis;BR Köln;Rhein-Sieg-Kreis;Sankt Augustin;7
142177;Meckenheim, GH Geschwister-Scholl-Schule;BR Köln;Rhein-Sieg-Kreis;Meckenheim;6
142268;Troisdorf, GH Rupert-Neudeck-Schule;BR Köln;Rhein-Sieg-Kreis;Troisdorf;7
142359;Aachen, GH Drimborn;BR Köln;Städteregion Aachen;Aachen;8
142426;Aachen, GH Aretzstr.;BR Köln;Städteregion Aachen;Aachen;9
142529;Eschweiler, GH Adam-Ries-Schule;BR Köln;Städteregion Aachen;Eschweiler;7
142797;Düren, GH Burgauer Allee;BR Köln;Kreis Düren;Düren;8
142827;Düren, GH Matthias-Claudius-Schule;BR Köln;Kreis Düren;Düren;7
142839;Inden, GH Goltstein-Schule Inden;BR Köln;Kreis Düren;Inden;4
142967;Erkelenz, GH Zehnthofweg;BR Köln;Kreis Heinsberg;Erkelenz;5
143054;Hückelhoven, GH In der Schlee;BR Köln;Kreis Heinsberg;Hückelhoven;5
143170;Wegberg, GH Schule am Grenzlandring;BR Köln;Kreis Heinsberg;Wegberg;4
143212;Bocholt, GH Hohe-Giethorst-Schule;BR Münster;Kreis Borken;Bocholt;6
143224;Bocholt, KH Arnold-Janssen-Schule;BR Münster;Kreis Borken;Bocholt;4
143273;Bottrop, GH Welheim;BR Münster;Stadt Bottrop;Bottrop;8
